,T_Max,T_Avg,T_Min,D_Max,D_Avg,D_Min,H_Max,H_Avg,H_Min,W_Max,W_Avg,W_Min,P_Max,P_Avg,P_Min,Rain,HOLS
11/29/2019 0:00,57,49.7,45,41,39.7,37,81,69.4,48,12,4.2,0,26.2,26.1,26.1,0.01,1
11/30/2019 0:00,59,52.6,45,41,35,30,81,53.7,34,23,8.1,0,26.1,26.1,26,0,0
12/1/2019 0:00,61,50.8,43,37,33.9,30,71,53.9,31,7,2.9,0,26.1,26.1,26.1,0,0
12/2/2019 0:00,55,50.6,45,43,37.5,27,82,61.6,46,12,6.3,0,26.1,26,26,0.4,0
12/3/2019 0:00,52,47,45,43,39.7,36,87,76.1,58,12,5.4,0,26.1,26,26,10,0
12/4/2019 0:00,54,47.3,39,41,34.9,28,93,63.8,47,16,6.8,0,26.1,26,26,5,0
12/5/2019 0:00,54,47.1,41,36,33.5,30,70,59.5,41,9,3.3,0,26.2,26.1,26.1,0,0.2
12/6/2019 0:00,54,49.6,43,36,32.6,27,70,52.8,38,12,4.6,0,26.3,26.2,26.1,0,1
12/7/2019 0:00,50,49,48,41,37.3,34,76,64.3,54,12,6,0,26.2,26.1,26,0.21,0
12/8/2019 0:00,52,44.9,39,39,36.5,28,87,73.2,54,16,6.2,0,26,25.9,25.9,7.8,0
12/9/2019 0:00,50,44.8,39,34,27.5,25,81,51.1,40,25,11.5,0,26.1,26,25.9,0,0
12/10/2019 0:00,52,45.2,37,30,26.6,21,70,49.6,30,12,4.2,0,26.1,26.1,26,0,0
12/11/2019 0:00,54,44.4,37,36,31.3,23,75,60.7,35,21,9.7,0,26,26,25.9,0.01,0
12/12/2019 0:00,50,43.1,36,30,27.7,25,70,55.3,40,9,3.4,0,26.1,26.1,26,0,0.2
12/13/2019 0:00,45,42.2,37,36,33,30,87,70.2,57,12,4.6,0,26.1,26.1,26,0,1
12/14/2019 0:00,52,44.5,37,37,34.5,30,81,68.2,54,9,4.3,0,26.1,26.1,26.1,0,0
12/15/2019 0:00,52,45.3,39,37,34.9,28,81,67.3,54,9,4,0,26.1,26.1,26.1,0,0
12/16/2019 0:00,52,47.1,41,39,35.4,27,81,64,50,12,4.7,0,26.1,26.1,26.1,0,0
12/17/2019 0:00,48,43.4,37,39,36.3,34,87,76.4,62,14,7.3,0,26.3,26.2,26.1,1.02,0
12/18/2019 0:00,50,43.5,37,34,30.7,23,87,61.8,43,18,6.9,0,26.3,26.3,26.3,0,0
12/19/2019 0:00,52,44.5,37,30,26.4,21,65,50.1,33,16,3.9,0,26.4,26.3,26.2,0,0.2
12/20/2019 0:00,57,46.2,37,28,26.4,21,65,48,26,9,3.8,0,26.3,26.2,26.1,0,1
12/21/2019 0:00,55,45.6,37,32,28.9,25,66,53.6,33,7,2.8,0,26.3,26.2,26.2,0,0
12/22/2019 0:00,54,45.1,39,34,29.3,25,66,55.3,38,7,4,0,26.2,26.1,26.1,0,0
12/23/2019 0:00,59,46.7,37,32,26.9,19,75,49,22,9,2.3,0,26.1,26.1,26,0,0
12/24/2019 0:00,55,46.4,39,32,28.1,23,70,50.7,33,7,3.3,0,26.2,26.1,26.1,0,0
12/25/2019 0:00,55,45.7,37,30,28.3,21,75,52.7,31,7,2.6,0,26.1,26.1,26.1,0,0
12/26/2019 0:00,54,46.1,37,30,25.1,21,75,45.1,28,9,3.8,0,26.1,26,25.9,0,0.2
12/27/2019 0:00,57,49.6,43,37,29.6,23,81,47.8,33,21,4.9,0,26,25.9,25.9,0,1
12/28/2019 0:00,54,47.4,43,36,28.4,21,76,49,37,18,10.1,0,26.1,26,25.9,2.01,0
12/29/2019 0:00,54,46.4,39,27,21.9,18,61,38.9,24,23,8,0,26.1,26.1,26.1,0,0
12/30/2019 0:00,54,46.8,39,27,21.3,18,53,37.6,26,16,6.3,0,26.2,26.1,26.1,0,0
12/31/2019 0:00,48,43,37,36,31.3,27,87,64.5,46,14,6.2,0,26.1,26,25.9,0.21,0
